Ciudad,Nombre,Dirección,Latitud,Longitud
Guayaquil,TuTi | Guayacanes,"V4J4+7Q2, TuTi, Guayacanes District, Provincia Libre de Guayaquil, 3er Callejon 20 NE, Guayaquil",-2.1193533,-79.8931181
Guayaquil,Supermercado TUTI,"V36X+C35, Demetrio Aguilera Malta, Guayaquil",-2.1389844,-79.90226659999999
Guayaquil,TuTi | Rosendo Avilés,"Rosendo Avilés T., Guayaquil",-2.2073793,-79.9273345
Guayaquil,TuTi | La Atarazana,"R4C7+V39, Av. 2 N-E- De La Democracia, Guayaquil",-2.1778484,-79.88727279999999
Guayaquil,TuTi | 10 de Agosto,"R443+WMR, Blvd. 9 de Octubre, Guayaquil",-2.1926406,-79.89587259999999
Guayaquil,TuTi - Villa España,"W39M+X75, Guayaquil",-2.0800419,-79.9167851
Guayaquil,TuTi | Bastión Popular - Bloque 2,"W34C+FMF, Guayaquil",-2.0938468,-79.9283342
Guayaquil,TuTi | Limonal,"Autop. Narcisa de Jesús Solar 11, Guayaquil",-2.1347851,-79.88111479999999
Guayaquil,TuTi | Garzota,"V445+8HJ, Guayaquil",-2.1441508,-79.8911079
Guayaquil,TuTi | Plaza Dañin,"6º Pasaje 9 NO 520, Guayaquil",-2.1717346,-79.8964335
Guayaquil,TuTi | Los Ríos,"Q4X2+HR7, Guayaquil",-2.2010783,-79.8979409
Guayaquil,TuTi | Urbasur,"2, Los Tulipanes Guasmo Sur",-2.2434375,-79.8867428
Guayaquil,TuTi | Portete,"Porrete 2817, Guayaquil",-2.2050697,-79.9043212
Guayaquil,TuTi | Vergeles,"W36W+498, Guayaquil",-2.089411,-79.9040189
Guayaquil,TuTi | Sauces 8,"V3FX+7RJ, Guayaquil",-2.1267875,-79.9004844
Guayaquil,Tuti bellavista,"R38Q+C27, Jose Maria Velasco Ibarra, Guayaquil",-2.1839626,-79.9124688
Guayaquil,TuTi | Gomez Rendón,"R34G+6GG, Guayaquil",-2.1944474,-79.9236629
Guayaquil,Tuti Chongón,"QW8C+568, Via Chongon, Guayaquil",-2.2345675,-80.07941149999999
