Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
Guayaquil,tuti  el dorado,Av León Febres Cordero Ribadeneyra,-2.0555891,-79.8749804,,,,
Ibarra,tuti  el ejido,"Av. Mariano Acosta, Ibarra",0.3457517,-78.1373443,,,,
Quevedo,tuti  el empalme hnos. coronel,"Vía La Guayas 307, Velasco Ibarra",-1.0380298,-79.6355021,,,,
Quevedo,tuti  el empalme san miguel,"X952+P9G, Velasco Ibarra",-1.0406881,-79.6490492,,,,
Ambato,tuti  el salto - latacunga,Calle Calixto Pino &,-0.9293643,-78.6174405,,,,
Machala,tuti  empleados municipales (av. las palmeras),"P2MH+79Q, Avenida de Las Palmeras, Machala",-3.2667993,-79.9715076,,,,
Guayaquil,tuti  entre rios,"V43P+F5J, Samborondón",-2.1462952,-79.86455289999999,,,,
Ambato,tuti  espoch,"88QC+GJ5, Av. Pedro Vicente Maldonado, Riobamba",-1.6611762,-78.6783588,,,,
Guayaquil,tuti  federico goding,"Federico Godín 2414, Guayaquil",-2.2117421,-79.91229059999999,,,,
Ambato,tuti  ficoa,"20, Av. Rodrigo Pachano &, Ambato",-1.2372873,-78.63292860000001,,,,
Ambato,tuti  galeria plaza,"89W4+Q22, Girasoles, Riobamba",-1.6531349,-78.6448537,,,,
Guayaquil,tuti  garzota,"V445+8HJ, Guayaquil",-2.1441508,-79.8911079,,,,
Guayaquil,tuti  garzota hermano miguel,"R4X5+CF9, Av. Hermano Miguel, Guayaquil",-2.1514751,-79.8912536,,,,
Quito,tuti  giovanni calles,"WH24+PHG, Giovanni Calles Lascano, Quito",-0.0981834999999999,-78.4435646,,,,
Guayaquil,tuti  gomez rendon,"R34G+6GG, Guayaquil",-2.1944474,-79.9236629,,,,
Quito,tuti  gran marcelino,"Av. Oswaldo Guayasamín Oe4-134, Quito",-0.212178,-78.41053459999999,,,,
Riobamba,tuti  guamote,"378R+6RV, Av Macas, Guamote",-1.9343678,-78.7077639,,,,
Guayaquil,tuti  guangala,"Q3FV+PMF, Guayaquil",-2.2256754,-79.90581449999999,,,,
Ambato,tuti  guano,"Agustin Davalos &, Guano",-1.6065296,-78.646052,,,,
Guayaquil,tuti  guayacanes,"V4J4+7Q2, TuTi, Guayacanes District, Provincia Libre de Guayaquil, 3er Callejon 20 NE, Guayaquil",-2.1193533,-79.8931181,,,,
Ibarra,tuti  guayllabamba,"Av. Libertador Simón Bolívar 1303-1279, Quito",-0.0574759,-78.3452089,,,,
Ambato,tuti  huachi grande,"M9V7+785, Carr. Panamericana, Ambato",-1.3068845,-78.6366482,,,,
Babahoyo,tuti  huancavilca,"W32Q+CW7, Guayaquil",-2.0989694,-79.9102073,,,,
Machala,tuti  huaquillas,"GQC6+2HX, Huaquillas",-3.4797377,-80.2384634,,,,
Quito,tuti  huarcay,"PC3J+424, Andres Perez, Quito",-0.297188,-78.5698668,,,,
Ibarra,tuti  ibarra juan de velasco,"Juan de Velasco 714-800, Ibarra",0.348028,-78.1192615,,,,
Ibarra,tuti  ibarra mercado mayorista,"Av. 13 de Abril 23-71, Ibarra",0.3623399,-78.1223856,,,,
Quito,tuti  ilalo,"PG3W+992, Ilaló, Quito",-0.2969515,-78.45450579999999,,,,
Santo Domingo,tuti  indio colorado,"PRWC+3V5, Av. Abraham Calazacón, Santo Domingo",-0.2548556,-79.17777060000002,,,,
Guayaquil,tuti  isidro ayora,"V483+9VC, Av Isidro Ayora, Guayaquil",-2.1340711,-79.89536009999999,,,,
Ambato,tuti  izamba,Av. Pedro Vásconez &,-1.2261139,-78.5869483,,,,
Santo Domingo,tuti  jacinto cortez,"PRM8+7VH, AURELIO ESPINOZA, Via Bellavista, Santo Domingo",-0.2668237,-79.1827733,,,,
Quevedo,tuti  jaime roldos,"XG7M+W49, Av. Jaime Roldos A, Quevedo",-1.0352046,-79.4671255,,,,
Ibarra,tuti  jaime roldos quito,"WF8V+3QF, Quito",-0.0848454999999999,-78.5054175,,,,
Ambato,tuti  jose peralta,"P9F9+HJ2, José Peralta, Ambato",-1.2761062,-78.6309785,,,,
Machala,tuti  juan palomino,"P2GM+3VC, Av. Jose Borja Barrezueta, Machala",-3.2748221,-79.96535999999999,,,,
Ibarra,tuti  julio andrade,"M76J+JHF, Quito",0.661354,-77.7188422,,,,
Ibarra,tuti  juncal,"Carr. Panamericana, Troncal de la Sierra E35, El Juncal",0.4350984,-77.9679752,,,,
Quevedo,tuti  june guzman,"C. Decima Cuarta 511, Quevedo",-1.0299068,-79.4700759,,,,
Guayaquil,tuti  junin,"Junín 407 y, Guayaquil",-2.1884852,-79.8870182,,,,
Quito,tuti  la armenia,"Charles Darwin 420d, Quito",-0.2807786,-78.465828,,,,
Guayaquil,tuti  la atarazana,"R4C7+V39, Av. 2 N-E- De La Democracia, Guayaquil",-2.1778484,-79.88727279999999,,,,
Guayaquil,tuti  la aurora,W4X9+4CC,-2.0521988,-79.8815049,,,,
Santo Domingo,tuti  la concordia,"2J33+794, La Concordia",0.0031325,-79.39654469999999,,,,
Quito,tuti  la ecuatoriana,"MCRP+4JV, Av. La Ecuatoriana, Quito",-0.3096889,-78.5634687,,,,
Quito,tuti  la floresta,"Madrid E12-71, Quito",-0.2077034,-78.4865169,,,,
Quito,tuti  la gasca,"Gaspar de Carvajal 33-9, Quito",-0.1968058,-78.50213640000001,,,,
Santa Elena,tuti  la libertad 1 - mercado,"Av. 9, entre y 23, La Libertad",-2.2273982,-80.9065959,,,,
Santa Elena,tuti  la libertad 2 - av. eleodoro,"Av. Eleodoro Solorzano, y, La Libertad",-2.2268903,-80.8995491,,,,
Santa Elena,tuti  la libertad 3 - calle tercera,"Av. Tercera, y, La Libertad",-2.2215426,-80.906116,,,,
Santa Elena,tuti  la libertad 4 - abdon calderon,"11 de Diciembre, La Libertad",-2.2372756,-80.9105725,,,,
Santa Elena,tuti  la libertad 5 - 28 de mayo,"Barrio 28 de Mayo, y, La Libertad",-2.2303162,-80.9139885,,,,
Santa Elena,tuti  la libertad 6 - propicia,"C. 43 28, Mz. 26 Solar 11 y, La Libertad",-2.2385096,-80.8893168,,,,
Santa Elena,tuti  la libertad 7 - velasco ibarra,"Calle 24, y, La Libertad",-2.2440702,-80.9045126,,,,
Santo Domingo,tuti  la lorena,"PRVW+8C2, Av. la Lorena, Santo Domingo",-0.2563656,-79.1541285,,,,
Ambato,tuti  la prensa,"88QP+4JG, Avenida La Prensa, Riobamba",-1.6621932,-78.6634163,,,,
Quito,tuti  la roldos,"N85 &, Quito",-0.0847969,-78.5055361,,,,
Santo Domingo,tuti  la union,"4HMW+F42, E20, La Unión",0.1336984,-79.4047932,,,,
Quito,tuti  la vicentina,"QGM6+MPP, Quito",-0.2157506,-78.48817319999999,,,,
Ibarra,tuti  la victoria,"8VWR+VXP, Ibarra",0.3452472,-78.1096816,,,,
Ibarra,tuti  laguna mall,"Av. Mariano Acosta 1571, Ibarra",0.3481426,-78.1275522,,,,
Guayaquil,tuti  las esclusas,"P4R6+HH4, Guayaquil",-2.2586003,-79.88855769999999,,,,
Guayaquil,tuti  las penas,"R48F+PF7, Numa Pompilio Llona 204, Guayaquil",-2.1830584,-79.8764022,,,,
Otavalo,tuti  las vinas,Quito,-0.1353116,-78.4641084,,,,
Guayaquil,tuti  limonal,"Autop. Narcisa de Jesús Solar 11, Guayaquil",-2.1347851,-79.88111479999999,,,,
Guayaquil,tuti  lomas de sargentillo,"Av. El Telégrafo, Lomas de Sargentillo",-1.8786063,-80.0850947,,,,
Santo Domingo,tuti  los continentes,"Av. Abraham Calazacón &, Santo Domingo",-0.2515758,-79.16183219999999,,,,
Ibarra,tuti  los olivos,"Dr. Plutarco Larrea 259-282, Ibarra",0.3632874,-78.1120148,,,,
Guayaquil,tuti  los rios,"Q4X2+HR7, Guayaquil",-2.2010783,-79.8979409,,,,
Latacunga,tuti  machachi,"FCPM+M35, Machachi",-0.5133771,-78.5672685,,,,
Ambato,tuti  manuelita saez ambato,"Manuelita Sáenz 359, Ambato",-1.2609602,-78.6397136,,,,
Guayaquil,tuti  mapasingue oeste,"R3X8+5XR, Guayaquil",-2.1520141,-79.9326225,,,,
Machala,tuti  marcel laniado,"P2RX+HV7, Marcel Laniado, Machala",-3.2585676,-79.9503198,,,,
Ambato,tuti  media luna,"88W4+25P, Troncal de la Sierra, Riobamba",-1.654903,-78.6945434,,,,
Ambato,tuti  mercado mayorista,"P9JP+F6Q, Av. El Cóndor, Ambato",-1.2687875,-78.61439060000001,,,,
Ambato,tuti  mercado oriental,"Eugenio Espejo 3396-3488, Riobamba",-1.6658562,-78.6432584,,,,
Ibarra,tuti  mercado santo domingo,"9V4H+9W6, Ibarra",0.355987,-78.12017569999999,,,,
Quito,tuti  monjas,"Alfonso Mora S2-537, Quito",-0.2318621,-78.4831237,,,,
Santo Domingo,tuti  monsenor,"QR5J+V4R, Santo Domingo",-0.2402334,-79.1697228,,,,
Quito,tuti  monserrat,"PGQ3+C37, Lizardo Garcia, Quito",-0.2615872,-78.4972548,,,,
Quito,tuti  monteserrin,"RGRM+59W, Av. Eloy Alfaro, Quito",-0.1595209,-78.4665797,,,,
Guayaquil,tuti  mucho lote lince,"1° CALLEJÓN 25 NO 2686, Guayaquil",-2.0857076,-79.9221159,,,,
Santa Elena,tuti  muey de salinas,"Q379+5R4, Salinas",-2.2371242,-80.9304172,,,,
Machala,tuti  napoleon mera,"P2PW+67X, Machala",-3.2644265,-79.9542932,,,,
Quito,tuti  nayon,"Huascar Esquina, Quito",-0.1575152,-78.4383332,,,,
Otavalo,tuti  oswaldo guayasamin,"QJWJ+RGC, E28C, Quito",-0.2029082,-78.3687219,,,,
Ibarra,tuti  otavalo abdon calderon,"Abdon Calderon 208, Otavalo",0.2259195,-78.26190340000001,,,,
Ibarra,tuti  otavalo centro,"C. Vicente Ramon Roca 1002-1070, Otavalo",0.228796,-78.26029079999999,,,,
Quevedo,tuti  palenque via a la revesa,"H66R+263, Palenque",-1.4399798,-79.7594591,,,,
Otavalo,tuti  pambachupa,"RF5Q+PF2, Antonio Herrera, Quito",-0.1908896,-78.50843909999999,,,,
Quito,tuti  paquisha,"MC4M+WQW, Gustavo Orces Villagomez, Quito",-0.3425166,-78.5658009,,,,
Ambato,tuti  parque industrial,"RC44+RH9, Ambato",-1.192921,-78.59367309999999,,,,
Machala,tuti  parque lineal,"P2QH+4C7, Avenida 11ava. Sur, Machala",-3.2622675,-79.9713148,,,,
Ambato,tuti  parroquia atahualpa,"Q9JQ+HHR, Av. 22 de Enero, Ambato",-1.2186727,-78.61102369999999,,,,
Machala,tuti  pasaje,"9 de Octubre &, Pasaje",-3.3267117,-79.8056574,,,,
Guayaquil,tuti  pascuales,Guayaquil,-2.068309,-79.9324311,,,,
Santo Domingo,tuti  pedro vicente maldonado,"3WPX+VCP, Pedro Vicente Maldonado",0.0868094,-79.05115119999999,,,,
Guayaquil,tuti  perimetral,"km25, Vía Perimetral, Guayaquil",-2.1284761,-79.94961169999999,,,,
