Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
,tuti 9.5 via a daule,,,,Km 9.5 Via a Daule. junto a Paseo Shopping,08:00 - 21:00,Sí,No
Manta,tuti abdon calderon,"XM95+QW7, E30, Portoviejo",-1.0306089,-80.34019669999999,Guasmo Sur. Cooperativa Union de Bananeros bloque 1. Av. Abdon Calderon. Mz. 2803 Sl. 5,08:00 - 21:00,No,No
,tuti abraham calazacon,,,,ABRAHAM CALAZACON Y AV. RIO TOACHI,08:00 - 21:00,No,No
,tuti adesdac,,,,CIUDADELA ADESDAC MZ. A SOLAR 46,08:00 - 21:00,No,No
,tuti agapanthus,,,,PLAZA AGAPANTHUS UBICADA EN LA AV. HUANCAVILCA Y RIO NAPO.,08:00 - 21:00,Sí,No
,tuti alamos,,,,DE LOS ALAMOS E10 - 30 Y,08:00 - 21:00,No,No
,tuti albocentro,,,,Av. Rodolfo Baquerizo Nazur. CC Gran Albocentro,08:00 - 21:00,Sí,No
,tuti alborada 8va etapa,,,,Av. Demetrio Aguilera Malta. entrada por la Fco Orellana,08:00 - 21:00,Sí,No
,tuti alejandro castro,,,,Avenida Alejandro Castro Beni­tez Y Calle Alamor,08:00 - 21:00,Sí,No
,tuti alluriquin,,,,VIA ALOAG - SANTO DOMINGO,08:00 - 21:00,No,No
,tuti aloag,,,,VIA ALOAG SANTO DOMINGO Y CALLE GREGORIO CANDO,08:00 - 21:00,No,No
,tuti alonso de angulo,,,,"ALONSO DE ANGULO Y PEDRO DE ALFARO, BARRIO VILLAFLORA, PARROQUIA LA MAGDALENA.",08:00 - 21:00,No,No
Manta,tuti altamira,"28H2+M6Q, Av. Las Acacias, Manta",-0.9707854,-80.6993923,AV. LAS ACACIAS Y LAS GARDENIAS EN LA MZ. E LOTE 31 DE LA LOTIZACION CENTENARIO DE LA PARROQUIA TARQUI DEL CANTON MANTA.,08:00 - 21:00,No,No
,tuti amaguana,,,,CALLE CRISTOBAL COLON Y SIMON BOLIVAR,08:00 - 21:00,No,No
,tuti america,,,,AV. AMERICA Y BRASIL,08:00 - 21:00,No,No
,tuti anconcito,,,,BARRIO GONZALO CHAVEZ AVENIDA PRINCIPAL CALLE L Y K,08:00 - 21:00,Sí,No
Manta,tuti arenales,"4FR8+VR8, Arenales de Crucita Crucita, Portoviejo",-0.8578331,-80.532935,,,,
,tuti arenillas,,,,CDLA GUAYAQUIL SIMON BOLIVAR ENTRE RIO GUAYAS Y JAIME ROLDOS,08:00 - 21:00,No,No
,tuti argentina y la 17,,,,ARGENTINA Y LA 17,08:00 - 21:00,No,No
,tuti armenia,,,,AV. CHARLES DARWIN Y ESTADIO,08:00 - 21:00,No,No
,tuti assad bucaram,,,,LA 29 Y LA J,08:00 - 21:00,No,No
,tuti atarazana,,,,Av. de la Democracia. Edificio Tehanga solar 9 -10 mz. 111. planta baja local 101.,08:00 - 21:00,No,No
Quito,tuti atucucho,"VFCP+VQJ, Oe16A, Quito",-0.1278345,-78.5130092,CALLE MANUEL DE JESUS ALVAREZ Y OE 16A,08:00 - 21:00,No,No
Ibarra,tuti atuntaqui,"C. Gral. Enriquez &, Atuntaqui",0.3287266,-78.2160492,CALLE GENERAL ENRIQUEZ ENTRE ATAHUALPA Y JUAN DE VELASCO,08:00 - 21:00,Sí,No
Manta,tuti aurora,"2893+PGQ, Manta",-0.9804633,-80.6962186,,,,
,tuti av casuarina,,,,COOPERATIVA NUEVA PROSPERINA ETAPA 4 MZ 787 SOLAR 12,08:00 - 21:00,No,No
,tuti av la prensa,,,,AV LA PRENSA Y AGUSTIN DAVALOS,08:00 - 21:00,No,No
,tuti av. 24 de mayo - quito,,,,"24 de Mayo e Imbabura, Centro Historico",08:00 - 21:00,No,No
,tuti av. 25 de julio,,,,Av. 25 de julio. Ciudadela 9 de octubre Mz. 41 Solar 3. Frente al hospital Iess,08:00 - 21:00,No,No
Manta,tuti av. 4 de noviembre,"Av. 4 de Noviembre &, Manta",-0.9694301,-80.7043145,,,,
,tuti av. amazonas,,,,"BARRIO MARISCAL SUCRE, N218 ROBLES E4-135AVENIDA AMAZONAS EDIFICIO PROINCO OF. 103 PARROQUIA MARISCAL SUCRE.",08:00 - 21:00,No,No
,tuti av. atahualpa,,,,Av. Atahualpa y pasaje Isaac Roballo.,08:00 - 21:00,No,No
,tuti av. chone,,,,"AV. CHONE, A UNA CUADRA DEL HOTEL SANTANDER, FRENTE A KIA.",08:00 - 21:00,Sí,No
,tuti av. de las americas,,,,AV. DE LAS AMERICAS SOLAR 1 EDIFICIO 9,08:00 - 21:00,No,No
Manta,tuti av. del ejercito,"WGRP+2Q7, Av. del Ejército, Portoviejo",-1.0599685,-80.4630668,,,,
Ambato,tuti av. el rey,"Av. El Rey 119, Ambato",-1.237055,-78.6189818,AV. EL REY  Y AV. LAS AMERICAS,08:00 - 21:00,Sí,No
Manta,tuti av. guayaquil,"WHR4+WFV, Portoviejo",-1.057634,-80.4438656,"AV. GUAYAQUIL, SITIO CIMARRON DE LA PARROQUIA Y CANTON PORTOVIEJO DE LA PROVINCIA DE MANABI",08:00 - 21:00,No,No
,tuti av. isidro ayora,,,,Av. Demetrio Aguilera e Isidro Ayora. esquina,08:00 - 21:00,Sí,No
Manta,tuti av. manabi,"Callejon Robles 130103, Portoviejo",-1.0515815,-80.46129599999999,,,,
,tuti av. simon bolivar,,,,AV. SIMON BOLIVAR ENTRE LA CALLE RICARDO SOTOMAYOR,08:00 - 21:00,No,No
Manta,tuti av. universitaria,"XG3V+4Q4, Portoviejo",-1.0472549,-80.4555845,,,,
Manta,tuti av.bolivariana,"Av. Bolivariana, Portoviejo",-1.0572164,-80.4722877,,,,
,tuti avanzada,,,,TRANSVERSAL SUR ENTRE VIA AGUSTIN,07:00 - 20:00,Sí,No
,tuti ayapamba,,,,Av. Pedro Vazcones y Cesar Agusto Salazar,08:00 - 21:00,Sí,No
,tuti azuay y villavicencio,,,,AZUAY Y VILLAVICENCIO,08:00 - 21:00,No,No
,tuti baba,,,,CALLE BABAHOYO ENTRE DAULE Y AV. GUAYAQUIL. DIAGONAL AL PARQUE CENTRAL DE BABA,08:00 - 21:00,No,No
,tuti babahoyo,,,,Calle Bolivar #143 y 5 de Junio. A 1 cuadra del MSP,08:00 - 21:00,No,No
,tuti babahoyo 2 - camilo ponce,,,,"Babahoyo, Calle Gral. Barahona Meji­a y Barreiro",08:00 - 21:00,No,No
,tuti babahoyo 3 - juan x. marcos,,,,Juan X. Marcos y Calle H,08:00 - 21:00,No,No
,tuti babahoyo 4 - estadio,,,,BABAHOYO. CALLE JUAN X. MARCOS Y CALLE J,08:00 - 21:00,No,No
,tuti babahoyo 5 - la ventura,,,,BABAHOYO CDLA. LA VENTURA.,08:00 - 21:00,No,No
,tuti babahoyo 6 - mamey,,,,Cdla. El Mamey sol. 12 Mz. 24,08:00 - 21:00,No,No
Manta,tuti badaracco,"27Q4+M8V, Manta",-0.960836,-80.7442109,"MANTA, CONECTOR VIA SAN MATEO - CIRCUNVALACION",08:00 - 21:00,Sí,No
Manta,tuti bahia,"9HXG+4GP, Av. 3 de Noviembre, Bahía de Caráquez",-0.602166,-80.4236719,AV. 3 DE NOVIEMBRE Y ASCAZUBI.,08:00 - 21:00,No,No
,tuti balao,,,,Calle Bolivar y 10 de Agosto,08:00 - 21:00,No,No
,tuti ballenita av. francisco pizarro,,,,"AV. FRANCISCO PIZARRO, E 15, RUTA DEL SPONDYLUS, VIA A BALLENITA",08:00 - 21:00,No,No
,tuti balzar,,,,Calle Vinces y Av. Rocafuerte,08:00 - 21:00,No,No
,tuti balzar av. amazonas,,,,CALLE AMAZONAS Y JOSE IGNACIO MACÍAS,08:00 - 21:00,No,Sí
,tuti banos,,,,PEDRO VICENTE MALDONADO ENTRE EUGENIO ESPEJO Y AV. AMAZONAS,08:00 - 21:00,Sí,No
,tuti bastion bloque 4,,,,Cooperativa Flor de Bastion Bloque 4 Mz. 696 Sol. 2,08:00 - 21:00,No,No
,tuti bastion bloque 9,,,,COOP. BASTION POPULAR BLOQUE 9 MZ # 1104,08:00 - 21:00,No,No
,tuti bastion popular bloque 2,,,,Cooperativa Bastion Popular Bloque 2. Sl.4 Mz. 819,08:00 - 21:00,No,No
,tuti bastion popular bloque 6,,,,BASTION POPULAR BLOQUE 6 MZ. 945 SOLAR 3. DIAGONAL A CHILDREN INTERNATIONAL,08:00 - 21:00,No,No
Guayaquil,tuti bellavista,"R38Q+C27, Jose Maria Velasco Ibarra, Guayaquil",-2.1839626,-79.9124688,,,,
,tuti bellavista - guayaquil,,,,Cdla Bellavista Av. 26 MZ 0081 Solar 25,08:00 - 21:00,No,No
,tuti bellavista - quito,,,,"BELLAVISTA OE3436 Y CHUQUISACA, PARROQUIA DE PONCEANO.",08:00 - 21:00,Sí,Sí
,tuti bicentenario,,,,HOMERO SALAS Y AV LA PRENSA,08:00 - 21:00,Sí,No
,tuti bocatoma,,,,Av. Ilalo y 7ma transversal.,08:00 - 21:00,No,No
,tuti bolivariana,,,,Cdla. Bolivariana. Av. Delta y Gral. Jose Antonio Mz. 7 Sl. 4. frente a la Universidad de Guayaquil,08:00 - 21:00,Sí,No
,tuti bonanza,,,,AV. GALO PLAZA LASSO,08:00 - 21:00,Sí,No
,tuti brasil y la 11,,,,Brasil entre Otavalo y Federico Goding Mz. 10,08:00 - 21:00,No,No
,tuti brisas,,,,Ciudadela las Brisas. Av Arizaga y calle Luis Leon Roman antigua Vi­a Pajonal.,08:00 - 21:00,No,No
,tuti bucay,,,,Av. Garcia Moreno y Eloy Alfaro,08:00 - 21:00,No,No
,tuti buena fe,,,,"COOPERATIVA DIECINUEVE DE OCTUBRE, AV 7 DE AGOSTO Y NATALIO ROSADO, PARROQUIA SIETE DE AGOSTO DEL CANTON BUENA FE.",08:00 - 21:00,No,No
Quevedo,tuti buena fe 2 centro,"4G46+536, 7 de Agosto, Buena Fe",-0.8946944,-79.4898889,,,,
,tuti bustamante,,,,RAFAEL BUSTAMANTE Y JUAN VACA,08:00 - 21:00,Sí,No
,tuti by pass,,,,AV. MONS LEONIDAS PROANO,08:00 - 21:00,Sí,No
,tuti cajabamba,,,,AV. UNIDAD NACIONAL Y AV. DEL MAESTRO,08:00 - 21:00,Sí,No
,tuti calceta,,,,CALLE SALINAS Y CALLE PORTAL PLAZA.,08:00 - 21:00,No,No
,tuti calderon,,,,VICENTE PAREDES Y 9 DE AGOSTO.,08:00 - 21:00,Sí,No
,tuti calle a,,,,Cristo del Consuelo. Calle A Sl. 16,08:00 - 21:00,No,No
,tuti caluma,,,,Calle Av. Elias Fierro entre Jose Rodri­guez,08:00 - 21:00,Sí,No
,tuti camilo ponce,,,,AV. TRONCAL DE LA COSTA PANAMERICANA,07:00 - 21:00,No,No
,tuti canton isidro ayora,,,,CALLE JUAN MONTALVO (CARRETERO) ENTRE AV. DE LAS MERCEDES Y JOHN F. KENNEDY DIAGONAL A FARMACIAS VICKY,08:00 - 21:00,No,No
Manta,tuti canton santa ana,"C. Horacio Hidrovo Velasquez 0209, Santa Ana",-1.2083901,-80.37102790000002,,,,
,tuti capitan najera,,,,Tungurahua entre Capitan Najera y Medardo Angel Silva,08:00 - 21:00,No,No
,tuti caranqui,,,,AV. ATAHUALPA E INES HERNANDEZ,08:00 - 21:00,Sí,No
,tuti carapungo,,,,GALO PLAZA LASSO.,08:00 - 21:00,No,No
,tuti carmen la 14,,,,"EL CARMEN, PARROQUIA PARAISO LA 14",08:00 - 21:00,No,No
,tuti cascol,,,,"AV. 3 DE DICIEMBRE, DE LA PARROQUIA CASCOL DEL CANTON PAJAN.",08:00 - 21:00,No,No
,tuti cashapamba,,,,Antonio Tandazo entre Francisco Quinabanda y PJE Miranda,08:00 - 21:00,No,No
,tuti casuarina gasolinera,,,,ENTRADA DE LA 8. AV. CASUARINA. PROXIMA A GASOLINERA SAN SEBASTIAN,08:00 - 21:00,No,Sí
,tuti cayambe,,,,JUNIN OE Y RESTAURACION,08:00 - 21:00,No,No
,tuti centenario sur,,,,AV. 25 DE JULIO Y VICENTE TRUJILLO,08:00 - 21:00,No,No
Quito,tuti centro del muchacho trabajador,Quito,-0.1101746,-78.4938277,,,,
Santa Elena,tuti chanduy,"H8W9+XM6, Calle Sta. Elena, Chanduy",-2.4025884,-80.68087349999999,CALLE SANTA ELENA Y SAN AGUSTIN,08:00 - 21:00,No,No
Manta,tuti charapoto,"5G75+VQC, Charapotó",-0.8353075999999999,-80.4905158,"AV. ELOY ALFARO Y AV. PRINCIPAL DE LA PARROQUIA URBANA Charapoto, Canton SUCRE.",08:00 - 21:00,No,No
,tuti chasquis,,,,AV. CHASQUIS Y GALO PLAZA,08:00 - 21:00,Sí,No
,tuti checa,,,,Av. Quito y Eladio ProaNo,08:00 - 21:00,No,No
,tuti chillogallo,,,,MANUEL CORONADO Y AV. MARISCAL SUCRE.,08:00 - 21:00,Sí,No
Portoviejo,tuti chone av. amazonas,"7WR2+VM6, Chone",-0.7078458999999999,-80.0983748,"SOLAR N.-04 DE LA MANZANA F DE LA LOTIZACION ANDRES MACIAS ESPINEL, EN LA AV. AMAZONAS ENTRE BY PASS Y CALLE M, DE LA PARROQUIA Y CANTON CHONE.",08:00 - 21:00,No,No
,tuti chone centro,,,,"CALLE ROCAFUERTE, ENTRE CALLE ATAHUALPA, INTERSECCION CALLE VARGAS TORRES DE LA PARROQUIA Y CANTON CHONE.",08:00 - 21:00,No,No
,tuti chone eloy alfaro,,,,"AV. ELOY ALFARO DE LA LOTIZACION KENNEDY DEL BARRIO SANTA MARTHA, CANTON CHONE.",08:00 - 21:00,Sí,No
Guayaquil,tuti chongon,"QW8C+568, Via Chongon, Guayaquil",-2.2345675,-80.07941149999999,Comuna San Pedro. Sector 1. Mz. 1 Sl. 7. Junto a la casa Comunal de Chongon,08:00 - 21:00,No,No
,tuti chongon 2 - comuna san pedro,,,,"SECTOR 1, COMUNA SAN PEDRO, SOLAR 11 MZ. 391",08:00 - 21:00,No,No
Manta,tuti cielito lindo,"273V+V3R, Manta",-0.9952661,-80.7073638,"BARRIO SANTA ANA, CALLE 322 AL LADO DE LA CANCHA.",08:00 - 21:00,No,No
Machala,tuti circ. norte,"P3W4+QGR, Napoleon Mera, Machala",-3.2530033,-79.9437392,,,,
,tuti circunvalacion norte,,,,AV. CIRCUNVALACION NORTE Y AV. NAPOLEON MERA,08:00 - 21:00,No,No
Machala,tuti circunvalacion sur,"P2MH+JVJ, Machala",-3.2659096,-79.9703632,AV CIRCUNVALACION SUR Y AV DE LAS PALMERAS,08:00 - 21:00,Sí,No
Quito,tuti ciudad bicentenario,"WGJX+24F, Quito",-0.0699713,-78.4522538,CALLE DE LOS NARCISOS Y HORTENSIAS,08:00 - 21:00,No,No
,tuti ciudad celeste,,,,AV. LEON FEBRES CORDERO RIVADENEIRA,08:00 - 21:00,Sí,No
,tuti ciudad de daule 1 vicente piedrahita,,,,Piedrahita y Jose Olmedo Mz22 Solar A1. Daule,08:00 - 21:00,No,No
,tuti ciudad de daule 2 isidoro carchi,,,,Av. Piedrahita e Isidoro Carchi. Sector Marianita 1,08:00 - 21:00,No,No
,tuti ciudad de daule 3 los daulis,,,,Avenida Los Daulis y Norberto Ronquillo,08:00 - 21:00,No,No
,tuti ciudad futura,,,,"Calle Principal y S44, JUNTO A LA CARNICERIA CORTES Y CARNES",08:00 - 21:00,No,No
,tuti ciudad santiago,,,,KM 20.5 VIA DAULE,08:00 - 21:00,Sí,No
,tuti ciudadela universitaria,,,,AV.UNIVERSITARIA  L.T.E,08:00 - 21:00,Sí,No
,tuti colibri,,,,AVENIDA GENERAL PINTAG Y AVENIDA GENERAL RUMINAHUI,08:00 - 21:00,Sí,No
,tuti colimes,,,,CIUDADELA 6 DE FEBRERO CALLE SANTA ROSA,08:00 - 21:00,No,No
,tuti colinas 1 (rosales),,,,"Av. Jose Luis Tamayo y Jose Ramon de Jesus, Colinas de la Alborada",08:00 - 21:00,No,No
,tuti colinas 2 (alamos),,,,Calle Base Sur y Jose Antonio Cajamarca. frente a Alamos Center,08:00 - 21:00,No,No
,tuti colon,,,,AV. COLON ENTRE AMAZONAS Y JUAN LEON MERA.,08:00 - 21:00,Sí,No
,tuti colon y teniente ledesma,,,,TENIENTE LEDEZMA (CALLE 7MA) ENTRE COLON Y ALCEDO,08:00 - 21:00,No,No
Otavalo,tuti comite del pueblo,"Eloy Alfaro, Y 2), 170138, Quito",-0.1281877,-78.471052,Av. Juan Molineros y De los Jazmines.,08:00 - 21:00,Sí,No
,tuti conocoto,,,,Calle Garcia Moreno y Juan Montalvo.,08:00 - 21:00,No,No
,tuti continentes,,,,"AV. ABRAHAM CALAZACON Y PALLATANGA, URBANIZACION MARIA DE LOURDES.",08:00 - 21:00,No,No
,tuti cooperativa 2 de mayo,,,,"COOPERATIVA 2 DE MAYO, SOBRE LA AV. PATRICIO ROMERO.",08:00 - 21:00,No,No
,tuti cotacachi,,,,"CALLE MODESTO PENAHERRERA, BOLIVAR, GONZALEZ",08:00 - 21:00,Sí,No
Quito,tuti cotocollao,"Av. de la Prensa 62-56, Quito",-0.121586,-78.4936322,Av. Diego Vasquez de Cepeda y Nazaret.,08:00 - 21:00,Sí,No
,tuti coviem,,,,"CDLA. COVIEM MZ 33, SOLAR 12 Y 13. 3ER PASAJE Y PIO JARAMILLO (PERIMETRAL)",08:00 - 21:00,No,No
,tuti crucitas,,,,AV. ALEJANDRO CASTRO Y ARGENTINA,08:00 - 21:00,No,No
,tuti cumanda,,,,CALLE 10 DE AGOSTO Y CALLE CUMANDA MZ.1 LOTE 1,08:00 - 21:00,No,No
,tuti cusubamba,,,,Calle Cusubamba y Av. Rumichaca S26-69.,08:00 - 21:00,No,No
,tuti cutuglagua,,,,Av. Atacazo cercano a la Iglesia Catolica Jesus de Nazareth,08:00 - 21:00,No,No
,tuti daule terminal,,,,LOTIZACION BAHAMON SOL. 5 Y 11 MZ. 43,08:00 - 21:00,No,No
Manta,tuti del redondel del paraiso,"27VX+FQ3, Avenida 108, Manta",-0.9563559,-80.7005741,,,,
,tuti divino el angel,,,,JOSE BENIGNO GRIJALVA,07:00 - 21:00,Sí,No
,tuti divino nino,,,,TOVIAS MENA Y MIGUEL SANCHEZ,08:00 - 21:00,Sí,No
Quevedo,tuti don pancho,"sector, Velasco Ibarra",-1.0422217,-79.6370517,,,,
,tuti duran 1 5 de junio,,,,Av. Jaime Nebot Velazco. Coop. 5 de Junio Bloque A3,08:00 - 21:00,No,Sí
,tuti duran 2 abel gilbert,,,,Coop. 2 de Mayo Mz4 Sl 1. bajos eventos Niev,08:00 - 21:00,No,No
,tuti duran 3 colinas del valle,,,,Cdla. Colinas del Valle Mz5 Sl 13-14,08:00 - 21:00,No,No
,tuti duran 4,,,,AV. SAMUEL CISNEROS. CIUDADELA ABEL GILBERT. 1 ETAPA 9 MANZANA 20,08:00 - 21:00,No,No
,tuti duran 7 - sibambe,,,,DURAN. CALLE SIBAMBE Y AV. DE LA VIRGEN,08:00 - 21:00,No,No
,tuti duran centro calle yaguachi,,,,URB. RECREO BLASERA MZ 9 SOLAR 2. ENTRE CALLES YAGUACHI Y CUENCA,08:00 - 21:00,No,No
,tuti duran hector cobos,,,,Coop. Hector Cobos El Arbolito frente a la urb. Porton del Ri­o.,08:00 - 21:00,No,No
,tuti duran juan leon mera,,,,AV. JUAN LEON MERA CDLA. SANTA ROSA MZ 54 SOLAR 1. AL FRENTE ALMACENES D TODO,08:00 - 21:00,No,No
,tuti duran oramas gonzalez,,,,DURAN CALLE VEHICULAR 17 MZ 3 SOLAR 17 DE LA CIUDADELA ORMAS GONZALEZ. DIAGONAL A LA FARMACIA CRUZ AZUL,08:00 - 21:00,No,No
,tuti duran pichincha,,,,Duran calle Pichincha y Av. Principal 5 de Junio,08:00 - 21:00,No,No
Quevedo,tuti echeandia,"HP9C+C2J, C. Ramon Ulloa, Echeandía",-1.4314112,-79.279994,CALLE GONZALES SUAREZ ENTRE RAMON ULLOA Y SIMON BOLIVAR,08:00 - 21:00,No,No
Quito,tuti eden,"De los Pinos 905-830, Quito",-0.1367589,-78.47279619999999,"DE LOS PINOS Y DE LOS GUACAMAYOS, LA KENNEDY.",08:00 - 21:00,Sí,No
Santo Domingo,tuti el 34,"PGHX+3PF, Av. Chone, El Carmen",-0.272383,-79.450654,,,,
,tuti el arenal,,,,AV. OSWALDO GUAYASAMIN Y PASAJE SAN FRANCISCO,08:00 - 21:00,No,No
,tuti el bosque,,,,ALONSO DE TORRES Y AV. EDMUNDO CARVAJAL,08:00 - 21:00,Sí,No
,tuti el carmen av. esperanza,,,,"AV. LA ESPERANZA, EN LOS SOLARES 7 Y 8 DE LA MANZANA B DE LA LOTIZACION SAN ANTONIO DE LA PARROQUIA Y CANTON EL CARMEN.",08:00 - 21:00,No,No
,tuti el carmen-el 34,,,,"LOTIZACION ATENAS I, AVENIDA CHONE Y SIMON BOLIVAR DE LA PARROQUIA Y CANTON EL CARMEN.",08:00 - 21:00,No,No
Quito,tuti el condado,"Pedro de la Peña Oe5-166, Quito",-0.1052665,-78.499287,CALLE PEDRO DE LA PENA Y SAN FRANCISCO DE RUMIURCO.,08:00 - 21:00,No,No
,tuti el dorado,,,,CENTRO COMERCIAL EL DORADO JUNTO A LA FARMACIA FYBECA,08:00 - 21:00,Sí,No
,tuti el ejido,,,,AV. MARIANO ACOSTA Y GAULLUPE,08:00 - 21:00,Sí,No
,tuti el empalme 2 don pancho,,,,"AV. GUAYAQUIL, SECTOR LA DEMOCRACIA SOL. 22 Y 23",08:00 - 21:00,No,No
,tuti el empalme 3 centro,,,,Av. Manabi y calle Mateo Rodriguez,08:00 - 21:00,Sí,No
Quevedo,tuti el empalme centro,"X92R+MQC, Av. Manabi, Velasco Ibarra",-1.0483186,-79.6080967,,,,
Quito,tuti el inca,"Pio Valdivieso E7-74, Quito",-0.1581057,-78.4774137,AV. 6 DE DICIEMBRE E ISLA ISABELA.,08:00 - 21:00,No,No
Manta,tuti el palmar,"Rocafuerte en las inmediaciones del Aeropuerto, Vía Manta - Jaramijo, Manta",-0.9611889,-80.6880903,,,,
Santo Domingo,tuti el paraiso la 14,"CF6Q+H42, La Catorce",-0.5886057,-79.5122289,,,,
Guayaquil,tuti el paseo shopping,"V3M8+RP8, Av. Camilo Ponce Enríquez, Guayaquil",-2.1154574,-79.9331405,,,,
Manta,tuti el porvenir,"27MP+FCM, Manta",-0.9662928,-80.71394509999999,,,,
Manta,tuti el redondel,"JCV5+CPC, Jipijapa",-1.3565001,-80.5907909,,,,
,tuti el salto,,,,BELISARIO QUEVEDO Y FELIX VALENCIA,08:00 - 21:00,No,No
,tuti el tingo,,,,AV. ILALO Y AV EL TURISMO,08:00 - 21:00,Sí,No
,tuti el triangulo,,,,AV. GENERAL RUMINAHUI E ISLA GENOVEVA,08:00 - 21:00,Sí,No
,tuti el triunfo,,,,Calle 24 de Mayo y Assad Bucaram en el Antiguo Paseo el Triunfo,08:00 - 21:00,No,Sí
,tuti eloy alfaro,,,,Eloy Alfaro #921 entre Brasil y Cuenca,08:00 - 21:00,No,No
Quevedo,tuti empalme 2 don pancho,"W9V5+RH2, Velasco Ibarra",-1.0554983,-79.6411189,,,,
,tuti empalme 4- hermanos coronel,,,,AV. WASHINGTON ALAVA SABANDO LUIS Y CORDERO CRESPO MZ 6 SL 5 Y 9,08:00 - 21:00,No,No
Santa Elena,tuti engabao,Engabao,-2.5726133,-80.4857107,,,,
,tuti entrada de la 8,,,,"ENTRADA DE LA 8 COOP. UNIDOS POR LA PAZ, SOLAR 23 MZ 2794",08:00 - 21:30,No,No
,tuti entre rios,,,,SAMBORONDON. URBANIZACION ENTRE RIOS MZ. Z1 SOLAR 24-25,08:00 - 21:00,No,No
,tuti esclusas,,,,Av. Raul Clemente Huerta. Cdla. Fundacion Guayaquil Mz. 1777 Sl. 10. Frente a estacion de la metrovia y Monasterio Santa Clara,08:00 - 21:00,No,No
,tuti espoch,,,,AV. PEDRO VICENTE MALDONADO Y FELICIANO CHECA,08:00 - 21:00,Sí,No
,tuti fajardo,,,,Av. El Inca y San Miguel 1,08:00 - 21:00,No,No
,tuti federico goding,,,,LA 11VA ENTRE DOMINGO SAVIO Y MARIA BAQUERIZO SANDOVAL,08:00 - 21:00,No,No
,tuti ferroviaria,,,,AV. FERROVIARIA Y 3RA AVENIDA,08:00 - 21:00,No,No
Machala,tuti ferroviaria #2,"P3J5+GWG, Av. Ferroviaria, Machala",-3.2686757,-79.9401523,,,,
,tuti ferroviaria baja,,,,CALLE JUAN CUEVA Y HERMANDAD FERROVIARIA,08:00 - 21:00,No,No
,tuti fertisa,,,,PRE-COOPERATIVA SANTIAGUITO ROLDOS MZ 31 SOLAR 10,08:00 - 21:00,No,No
,tuti ficoa,,,,Avenida Rodrigo Pachano y Calle Juan Montalvo,08:00 - 21:00,Sí,No
,tuti flavio alfaro,,,,"CALLE RAFAEL ALCIVAR, SECTOR 05, BARRIO O PARCELACION CENTRAL, MANZANA 08, ZONA 01, DE LA PARROQUIA Y CANTON FLAVIO ALFARO.",08:00 - 21:00,No,No
,tuti flor de bastion bloque 9,,,,COOPERATIVA FLOR DE BASTION BLOQUE 9 MZ. 1104 SOLAR 8,08:00 - 21:00,No,No
,tuti floresta,,,,MADRID Y ANDALUCIA,08:00 - 21:00,No,No
,tuti floresta 2,,,,"AV. ROBERTO SERRANO, COOPERATIVA LOS LAURELES MZ 752 SOLAR 9",08:00 - 21:00,No,No
,tuti florida,,,,SAN FRANCISCO KM 8.5 VIA DAULE MZ. 1 SOLAR 13.3.4.5 Y 6,08:00 - 21:00,Sí,No
Manta,tuti floron,"WGCW+3PR, C. 21 de Diciembre, Portoviejo",-1.0797352,-80.4532535,,,,
,tuti forestal,,,,POMPEYA Y SIMON BOLIVAR,08:00 - 21:00,No,No
,tuti fortin,,,,FORTIN AV. PERIMETRAL BLOQUE 2 MZ. 1585 SL. 1,07:30 - 20:30,No,No
Guayaquil,tuti fragata,"Q34R+XM8, Guayaquil",-2.2426107,-79.9082827,Cooperativa Vivienda de Fragata Limitada Mz. 2205 Sl. 15 y 16,08:00 - 21:00,No,No
,tuti francisco de orellana,,,,Ave. Francisco de Orellana,08:00 - 21:00,No,No
,tuti francisco jacome,,,,La Florida. 6to pasaje y callejon 19,08:00 - 21:00,No,No
,tuti galeria plaza,,,,AV. ANTONIO JOSE DE SUCRE Y GIRASOLES,08:00 - 21:00,Sí,No
,tuti garzota,,,,Ciudadela Garzota Mz43 Sl 17-18. atras del garzo centro,08:00 - 21:00,Sí,No
,tuti garzota guillermo pareja rolando,,,,GARZOTA. GUILLERMO PAREJA ROLANDO MANZANA 15 SOLAR 2. FRENTE AL EDIFICIO DE PLATA. DIAGONAL A WESTERN UNION. PASANDO LA GASOLINERA PRIMAX.,08:00 - 21:00,Sí,No
,tuti garzota hermanos miguel,,,,Cdla. L. Vernaza Sol. 8 y 25 Mz. 17,08:00 - 21:00,Sí,No
,tuti giovanni calles,,,,AV. CAPITAN GIOVANNI CALLES Y DORAL,08:00 - 21:00,No,No
,tuti gomez rendon,,,,29 y Gomez Rendon. diagonal al mercado de la 28,08:00 - 21:00,No,No
,tuti gomez rendon y la 20,,,,Calles Gomez Rendon #4219 interseccion Decima Novena y Vigesima.,08:00 - 21:00,Sí,No
,tuti gonzalez suarez,,,,AV. GONZALEZ SUAREZ Y CALLE CARPENTI,07:00 - 21:00,Sí,No
Cuenca,tuti gonzalez suarez cuenca,"Av. González Suárez 14-44 y, Cuenca",-2.8983856,-78.9827131,,,,
,tuti gran marcelino plaza,,,,"RODRIGO DE NUNEZ Y AV. OSWALDO GUAYASAMIN, PLAZA GRAN MARCELINO, TUMBACO",08:00 - 21:00,Sí,No
